id,locality,post_code,,
27319,Acton,2601,,
27320,Ainslie,2602,,
27321,Amaroo,2914,,
27322,Aranda,2614,,
27323,Banks,2906,,
27324,Barton,2600,,
27325,Belconnen,2616,,
27326,Belconnen,2617,,
27327,Black Mountain,2601,,
27328,Bonner,2914,,
27329,Bonython,2905,,
27330,Braddon,2612,,
27331,Bruce,2617,,
27332,Calwell,2905,,
27333,Campbell,2612,,
27334,Canberra,2600,,
27335,Canberra,2601,,
27336,Canberra,2610,,
27337,Capital Hill,2600,,
27338,Causeway,2604,,
27339,Chapman,2611,,
27340,Charnwood,2615,,
27341,Chifley,2606,,
27342,Chisholm,2905,,
27343,City,2601,,
27344,Civic Square,2608,,
27345,Conder,2906,,
27346,Cook,2614,,
27347,Crace,2911,,
27348,Curtin,2605,,
27349,Deakin,2600,,
27350,Deakin West,2600,,
27351,Dickson,2602,,
27352,Downer,2602,,
27353,Duffy,2611,,
27354,Dunlop,2615,,
27355,Duntroon,2600,,
27356,Erindale,2903,,
27357,Evatt,2617,,
27358,Fadden,2904,,
27359,Farrer,2607,,
27360,Fisher,2611,,
27361,Florey,2615,,
27362,Flynn,2615,,
27363,Forde,2914,,
27364,Forrest,2603,,
27365,Franklin,2913,,
27366,Fraser,2615,,
27367,Fyshwick,2609,,
27368,Garran,2605,,
27369,Gilmore,2905,,
27370,Ginninderra Village,2913,,
27371,Giralang,2617,,
27372,Gordon,2906,,
27373,Gowrie,2904,,
27374,Greenway,2900,,
27375,Griffith,2603,,
27376,Gungahlin,2912,,
27377,Hackett,2602,,
27378,Hall,2618,,
27379,Harman,2600,,
27380,Harrison,2914,,
27381,Hawker,2614,,
27382,Higgins,2615,,
27383,Hmas Harman,2600,,
27384,Holder,2611,,
27385,Holt,2615,,
27386,Hughes,2605,,
27387,Hume,2620,,
27388,Isaacs,2607,,
27389,Isabella Plains,2905,,
27390,Jamison,2614,,
27391,Kaleen,2617,,
27392,Kambah,2902,,
27393,Kingston,2604,,
27394,Kippax,2615,,
27395,Kowen Forest,2620,,
27396,Latham,2615,,
27397,Lawson,2617,,
27398,Lyneham,2602,,
27399,Lyons,2606,,
27400,Macarthur,2904,,
27401,Macgregor,2615,,
27402,Macquarie,2614,,
27403,Majura,2609,,
27404,Manuka,2603,,
27405,Mawson,2607,,
27406,Mckellar,2617,,
27407,Melba,2615,,
27408,Mitchell,2911,,
27409,Monash,2904,,
27410,Mount Stromlo,2611,,
27411,Narrabundah,2604,,
27412,Ngunnawal,2913,,
27413,Nicholls,2913,,
27414,O'Connor,2602,,
27415,O'Malley,2606,,
27416,Oaks Estate,2620,,
27417,Oxley,2903,,
27418,Page,2614,,
27419,Palmerston,2913,,
27420,Parkes,2600,,
27421,Parliament House,2600,,
27422,Pearce,2607,,
27423,Phillip,2606,,
27424,Pialligo,2609,,
27425,Pierces Creek,2611,,
27426,Red Hill,2603,,
27427,Reid,2612,,
27428,Richardson,2905,,
27429,Rivett,2611,,
27430,Russell,2600,,
27431,Russell Hill,2600,,
27432,Scullin,2614,,
27433,Spence,2615,,
27434,Stirling,2611,,
27435,Swinger Hill,2606,,
27436,Symonston,2609,,
27437,Tharwa,2620,,
27438,Theodore,2905,,
27439,Top Naas,2620,,
27440,Torrens,2607,,
27441,Tuggeranong,2900,,
27442,Tuggeranong,2901,,
27443,Turner,2612,,
27444,University Of Canberra,2617,,
27445,Uriarra,2611,,
27446,Uriarra Forest,2611,,
27447,Wanniassa,2903,,
27448,Waramanga,2611,,
27449,Watson,2602,,
27450,Weetangera,2614,,
27451,Weston,2611,,
27452,Weston Creek,2611,,
27453,Woden,2606,,
27454,Yarralumla,2600,,
27455,Alexandria,1435,,
27456,Alexandria,2015,,
27457,Annandale,2038,,
27458,Balmain,2041,,
27459,Balmain East,2041,,
27460,Banksmeadow,2019,,
27461,Beaconsfield,2015,,
27462,Birchgrove,2041,,
27463,Botany,1455,,
27464,Botany,2019,,
27465,Camperdown,1450,,
27466,Camperdown,2050,,
27467,Chifley,2036,,
27468,Coogee,2034,,
27469,Daceyville,2032,,
27470,Dulwich Hill,2203,,
27471,Eastgardens,2036,,
27472,Eastlakes,2018,,
27473,Enmore,2042,,
27474,Erskineville,2043,,
27475,Eveleigh,2015,,
27476,Forest Lodge,2037,,
27477,Glebe,2037,,
27478,Hillsdale,2036,,
27479,Kensington,1465,,
27480,Kensington,2033,,
27481,Kingsford,2032,,
27482,La Perouse,2036,,
27483,Leichhardt,2040,,
27484,Lewisham,2049,,
27485,Lilyfield,2040,,
27486,Little Bay,2036,,
27487,Malabar,2036,,
27488,Maroubra,2035,,
27489,Maroubra South,2035,,
27490,Marrickville,1475,,
27491,Marrickville,2204,,
27492,Marrickville South,2204,,
27493,Mascot,1460,,
27494,Mascot,2020,,
27495,Matraville,2036,,
27496,Missenden Road,2050,,
27497,Newtown,2042,,
27498,Pagewood,2035,,
27499,Petersham,2049,,
27500,Petersham North,2049,,
27501,Phillip Bay,2036,,
27502,Port Botany,2036,,
27503,Rosebery,1445,,
27504,Rosebery,2018,,
27505,Rozelle,2039,,
27506,South Coogee,2034,,
27507,St Peters,2044,,
27508,Stanmore,2048,,
27509,Sydenham,2044,,
27510,Sydney,2020,,
27511,Tempe,2044,,
27512,Unsw Sydney,1466,,
27513,Westgate,2048,,
27514,Airds,2560,,
27515,Alpine,2575,,
27516,Ambarvale,2560,,
27517,Appin,2560,,
27518,Ashcroft,2168,,
27519,Austral,2179,,
27520,Avoca,2577,,
27521,Avon,2574,,
27522,Aylmerton,2575,,
27523,Badgerys Creek,2555,,
27524,Balmoral,2571,,
27525,Bangadilly,2577,,
27526,Bargo,2574,,
27527,Barren Grounds,2577,,
27528,Barrengarry,2577,,
27529,Beaumont,2577,,
27530,Belanglo,2577,,
27531,Belimbla Park,2570,,
27532,Berrima,2577,,
27533,Bickley Vale,2570,,
27534,Big Hill,2579,,
27535,Blair Athol,2560,,
27536,Blairmount,2559,,
27537,Bong Bong,2576,,
27538,Bow Bowing,2566,,
27539,Bowral,2576,,
27540,Bradbury,2560,,
27541,Braemar,2575,,
27542,Brayton,2579,,
27543,Bringelly,2556,,
27544,Brownlow Hill,2570,,
27545,Budgong,2577,,
27546,Bullio,2575,,
27547,Bundanoon,2578,,
27548,Burradoo,2576,,
27549,Burrawang,2577,,
27550,Busby,2168,,
27551,Buxton,2571,,
27552,Calwalla,2577,,
27553,Camden,2570,,
27554,Camden Park,2570,,
27555,Camden South,2570,,
27556,Campbelltown,2560,,
27557,Campbelltown North,2560,,
27558,Canyonleigh,2577,,
27559,Carrington Falls,2577,,
27560,Cartwright,2168,,
27561,Casula,2170,,
27562,Cataract,2560,,
27563,Catherine Field,2557,,
27564,Cawdor,2570,,
27565,Cecil Hills,2171,,
27566,Cecil Park,2178,,
27567,Chipping Norton,2170,,
27568,Claymore,2559,,
27569,Cobbitty,2570,,
27570,Colo Vale,2575,,
27571,Couridjah,2571,,
27572,Currans Hill,2567,,
27573,Denham Court,2565,,
27574,Douglas Park,2569,,
27575,Eagle Vale,2558,,
27576,East Bowral,2576,,
27577,East Kangaloon,2576,,
27578,Edmondson Park,2174,,
27579,Elderslie,2570,,
27580,Ellis Lane,2570,,
27581,Englorie Park,2560,,
27582,Eschol Park,2558,,
27583,Exeter,2579,,
27584,Fitzroy Falls,2577,,
27585,Gilead,2560,,
27586,Glen Alpine,2560,,
27587,Glenfield,2167,,
27588,Glenmore,2570,,
27589,Glenquarie,2564,,
27590,Glenquarry,2576,,
27591,Grasmere,2570,,
27592,Green Valley,2168,,
27593,Hammondville,2170,,
27594,Hanging Rock,2577,,
27595,Harrington Park,2567,,
27596,Heckenberg,2168,,
27597,High Range,2575,,
27598,Hill Top,2575,,
27599,Hinchinbrook,2168,,
27600,Holsworthy,2173,,
27601,Horningsea Park,2171,,
27602,Horsley Park,2175,,
27603,Hoxton Park,2171,,
27604,Ingleburn,1890,,
27605,Ingleburn,2174,,
27606,Ingleburn,2565,,
27607,Joadja,2575,,
27608,Kangaloon,2576,,
27609,Kangaroo Valley,2577,,
27610,Kearns,2558,,
27611,Kemps Creek,2178,,
27612,Kentlyn,2560,,
27613,Kirkham,2570,,
27614,Knights Hill,2577,,
27615,Lakesland,2572,,
27616,Leppington,2179,,
27617,Leumeah,2560,,
27618,Liverpool,1871,,
27619,Liverpool,2170,,
27620,Liverpool South,2170,,
27621,Long Point,2564,,
27622,Lurnea,2170,,
27623,Macarthur Square,2560,,
27624,Macquarie Fields,2564,,
27625,Macquarie Links,2565,,
27626,Macquarie Pass,2577,,
27627,Maldon,2571,,
27628,Manchester Square,2577,,
27629,Mandemar,2575,,
27630,Marulan,2579,,
27631,Marulan South,2579,,
27632,Medway,2577,,
27633,Menangle,2568,,
27634,Menangle Park,2563,,
27635,Meryla,2577,,
27636,Middleton Grange,2171,,
27637,Miller,2168,,
27638,Minto,2566,,
27639,Minto Heights,2566,,
27640,Mittagong,2575,,
27641,Moorebank,1875,,
27642,Moorebank,2170,,
27643,Moss Vale,2577,,
27644,Mount Annan,2567,,
27645,Mount Hunter,2570,,
27646,Mount Lindsey,2575,,
